Info,  T1256: this is my info-call
Info,  T1256: App started!
Debug, T1256: ReSizeGLScene width: 837, height: 536
Debug, T1256: ReSizeGLScene width: 814, height: 525
Debug, T1256: ReSizeGLScene width: 806, height: 522
Debug, T1256: ReSizeGLScene width: 791, height: 515
Debug, T1256: ReSizeGLScene width: 783, height: 511
Debug, T1256: ReSizeGLScene width: 765, height: 503
Debug, T1256: ReSizeGLScene width: 748, height: 496
Debug, T1256: ReSizeGLScene width: 733, height: 489
Debug, T1256: ReSizeGLScene width: 715, height: 482
Debug, T1256: ReSizeGLScene width: 708, height: 479
Debug, T1256: ReSizeGLScene width: 692, height: 472
Debug, T1256: ReSizeGLScene width: 678, height: 467
Debug, T1256: ReSizeGLScene width: 667, height: 462
Debug, T1256: ReSizeGLScene width: 660, height: 460
Debug, T1256: ReSizeGLScene width: 652, height: 456
Debug, T1256: ReSizeGLScene width: 638, height: 451
Debug, T1256: ReSizeGLScene width: 631, height: 448
Debug, T1256: ReSizeGLScene width: 627, height: 447
Debug, T1256: ReSizeGLScene width: 621, height: 445
Debug, T1256: ReSizeGLScene width: 615, height: 442
Debug, T1256: ReSizeGLScene width: 609, height: 439
Debug, T1256: ReSizeGLScene width: 607, height: 439
Debug, T1256: ReSizeGLScene width: 602, height: 436
Debug, T1256: ReSizeGLScene width: 599, height: 434
Debug, T1256: ReSizeGLScene width: 595, height: 433
Debug, T1256: ReSizeGLScene width: 592, height: 431
Debug, T1256: ReSizeGLScene width: 590, height: 431
Debug, T1256: ReSizeGLScene width: 588, height: 430
Debug, T1256: ReSizeGLScene width: 587, height: 429
Debug, T1256: ReSizeGLScene width: 584, height: 428
Debug, T1256: ReSizeGLScene width: 581, height: 427
Debug, T1256: ReSizeGLScene width: 580, height: 427
Debug, T1256: ReSizeGLScene width: 577, height: 425
Debug, T1256: ReSizeGLScene width: 573, height: 424
Debug, T1256: ReSizeGLScene width: 570, height: 422
Debug, T1256: ReSizeGLScene width: 567, height: 422
Debug, T1256: ReSizeGLScene width: 563, height: 421
Debug, T1256: ReSizeGLScene width: 560, height: 419
Debug, T1256: ReSizeGLScene width: 555, height: 418
Debug, T1256: ReSizeGLScene width: 549, height: 416
Debug, T1256: ReSizeGLScene width: 542, height: 414
Debug, T1256: ReSizeGLScene width: 539, height: 413
Debug, T1256: ReSizeGLScene width: 532, height: 411
Debug, T1256: ReSizeGLScene width: 524, height: 409
Debug, T1256: ReSizeGLScene width: 517, height: 406
Debug, T1256: ReSizeGLScene width: 513, height: 405
Debug, T1256: ReSizeGLScene width: 506, height: 403
Debug, T1256: ReSizeGLScene width: 501, height: 402
Debug, T1256: ReSizeGLScene width: 494, height: 399
Debug, T1256: ReSizeGLScene width: 486, height: 397
Debug, T1256: ReSizeGLScene width: 482, height: 396
Debug, T1256: ReSizeGLScene width: 474, height: 394
Debug, T1256: ReSizeGLScene width: 469, height: 392
Debug, T1256: ReSizeGLScene width: 463, height: 390
Debug, T1256: ReSizeGLScene width: 455, height: 387
Debug, T1256: ReSizeGLScene width: 447, height: 385
Debug, T1256: ReSizeGLScene width: 437, height: 381
Debug, T1256: ReSizeGLScene width: 429, height: 378
Debug, T1256: ReSizeGLScene width: 411, height: 371
Debug, T1256: ReSizeGLScene width: 410, height: 370
Debug, T1256: ReSizeGLScene width: 410, height: 369
Debug, T1256: ReSizeGLScene width: 409, height: 368
Info,  T1256: App ended!
